 Time,10 g X,Temperature,Sound,Light,Pressure,Humidity,Comment
  min:s,g, C, dBA, lx, kPa, %RH,
03:20,-3.113965,16.82667,68.34447,62.86628,96.918,30.23957,
03:20,-1.372392,16.8,74.37258,62.86628,96.916,30.22431,
03:30,-1.70947,16.77333,71.59227,62.86628,96.916,30.18616,
03:30,-0.6019261,16.77333,48.0949,58.60416,96.928,30.16327,
03:30,-1.179775,16.74667,41.64851,58.60416,96.894,30.13275,
03:30,0.882825,16.72,43.73989,61.26798,96.902,30.08698,
03:30,-0.8266453,16.72,74.02812,61.80075,96.92,30.04883,
03:30,-0.6420546,16.69333,77.96485,62.33351,96.936,30.02594,
03:30,-0.7865168,16.66667,52.20387,62.86628,96.908,29.98016,
03:30,1.11557,16.64,60.20035,62.33351,96.914,29.93439,
03:30,0.1605136,16.64,61.529,62.33351,96.884,29.88861,
03:30,-0.3852327,16.61333,59.21617,62.86628,96.89,29.85809,
03:40,-2.094703,16.58667,49.81722,62.86628,96.886,29.81994,
03:40,-6.364366,16.56,65.8102,62.33351,96.924,29.79705,
03:40,-5.987159,16.56,40,62.33351,96.904,29.75891,
03:40,-0.858748,16.53333,73.63445,62.33351,96.894,29.73602,
03:40,-1.131621,16.50667,77.57117,63.39904,96.91,29.7055,
03:40,-0.8507223,16.48,40,63.9318,96.904,29.67498,
03:40,-1.605136,16.45333,80.64675,63.9318,96.926,29.65209,
03:40,-0.70626,16.45333,72.92091,63.9318,96.934,29.60632,
03:40,-1.043339,16.42667,67.36028,63.9318,96.924,29.5758,
03:40,-0.9470305,16.4,80.08084,63.9318,96.906,29.55291,
03:50,-3.322632,16.37333,80.74517,63.9318,96.896,29.53002,
03:50,-1.605136,16.37333,70.87874,63.9318,96.906,29.4995,
03:50,-0.1685393,16.34667,60.71705,63.39904,96.922,29.47662,
03:50,-1.00321,16.34667,66.15466,62.86628,96.894,29.45373,
03:50,-4.414125,16.32,62.80844,63.39904,96.892,29.42321,
03:50,-3.394864,16.32,68.46748,63.9318,96.922,29.39269,
03:50,-0.02407705,16.29333,70.31283,63.9318,96.898,29.37743,
03:50,-0.9550562,16.29333,72.69947,63.9318,96.904,29.33166,
03:50,-6.845907,16.26667,64.45694,63.9318,96.914,29.28588,
03:50,-8.274478,16.26667,40,63.9318,96.92,29.2401,
04:00,-1.669342,16.24,62.90685,63.9318,96.902,29.21721,
04:00,-0.9951846,16.24,45.83128,63.9318,96.884,29.16381,
04:00,-1.203852,16.21333,68.91037,63.9318,96.91,29.14092,
04:00,-0.858748,16.21333,47.11072,63.9318,96.906,29.10277,
04:00,-0.8988764,16.18667,45.06854,63.9318,96.902,29.07988,
04:00,-0.1685393,16.18667,43.39543,63.9318,96.916,29.05699,
04:00,-0.2327448,16.16,57.27241,62.86628,96.91,29.02647,
04:00,0.4735152,16.16,72.89631,62.33351,96.898,28.99596,
04:00,0.4895666,16.13333,76.71001,60.20245,96.928,28.99596,
04:00,-0.1444623,16.10667,65.44112,61.80075,96.882,28.9807,
04:10,-0.008025683,16.10667,50.2109,61.26798,96.898,28.96544,
04:10,-0.008025683,16.08,74.49561,61.80075,96.912,28.96544,
04:10,0.008025683,16.05333,45.33919,57.53862,96.89,28.95781,
04:10,-0.008025683,16.05333,44.05975,61.80075,96.908,28.95018,
04:10,0,16.02667,40,61.80075,96.914,28.95018,
04:10,-0.008025683,16.02667,40,62.86628,96.906,28.92729,
04:10,0.008025683,16,82.51669,63.39904,96.938,28.92729,
04:10,0,16,40,63.39904,96.894,28.91203,
04:10,-0.008025683,15.97333,53.75396,63.39904,96.906,28.89677,
04:10,0.008025683,15.97333,42.28822,62.86628,96.912,28.85863,
04:20,0.01605137,15.94667,43.05097,62.86628,96.928,28.82811,
04:20,0.008025683,15.94667,40,63.39904,96.902,28.81285,
04:20,-0.008025683,15.94667,49.49736,63.39904,96.938,28.78233,
04:20,-0.008025683,15.92,40,63.39904,96.898,28.76707,
04:20,0,15.92,55.15641,63.39904,96.876,28.75944,
04:20,0,15.92,40,62.86628,96.882,28.74418,
04:20,-0.008025683,15.92,77.79262,61.80075,96.886,28.72892,
04:20,0,15.89333,78.50615,60.20245,96.918,28.72892,
04:20,0.008025683,15.89333,64.92443,61.26798,96.89,28.71367,
04:20,-0.008025683,15.89333,40,61.26798,96.896,28.69841,
04:30,0.008025683,15.86667,74.91389,62.33351,96.926,28.66026,
04:30,0,15.89333,53.87698,60.73521,96.928,28.645,
04:30,0,15.92,40,59.66969,96.922,28.61448,
04:30,0.008025683,15.92,70.87874,59.13692,96.886,28.58396,
04:30,0,15.94667,40.63972,59.13692,96.886,28.57633,
04:30,-0.008025683,16,67.58173,59.13692,96.884,28.56107,
04:30,0,16.02667,40,59.13692,96.912,28.53819,
04:30,-0.008025683,16.08,52.05624,59.13692,96.886,28.53819,
04:30,0.008025683,16.10667,40,59.13692,96.922,28.53056,
04:30,0,16.16,49.05448,58.60416,96.896,28.52293,
04:40,0,16.21333,40,58.60416,96.898,28.50767,
04:40,-0.008025683,16.24,69.03339,58.60416,96.89,28.48478,
04:40,0,16.29333,77.10369,58.07139,96.896,28.47715,
04:40,0,16.34667,98.11599,52.21098,96.906,28.46952,
04:40,-0.008025683,16.37333,99.12478,51.14544,96.888,28.45426,
04:40,0,16.42667,97.18102,45.28503,96.9,28.45426,
04:40,-0.008025683,16.48,95.82777,34.62973,96.902,28.439,
04:40,0,16.50667,97.00879,35.69526,96.904,28.43137,
04:40,0,16.56,97.42706,23.97443,96.914,28.41611,
04:40,-0.008025683,16.58667,91.20211,28.76931,96.87,28.40085,
04:50,-0.008025683,16.64,90.16872,37.29355,96.908,28.39322,
